"text";"screenName";"created"
"LAVA JATO DA EDUCAÇÃO: todo o Brasil agradece por esse empenho de destinação correta dos recursos públicos na área… https://t.co/bbskTs8Pk4";"CarlosBolsonaro";2019-02-15 19:04:07
"Assinando pedido de colega para oferecer a Medalha Pedro Ernesto para o Grande @GeneralMourao . <U+0001F1E7><U+0001F1F7> https://t.co/0rCjIUW8vI";"CarlosBolsonaro";2019-02-15 16:30:47
"Que notícia bacana! Enxugando gastos, gerando concorrência e empregos de verdade! O governo vai muito bem seguindo… https://t.co/78CNSSLzQ8";"CarlosBolsonaro";2019-02-15 15:50:08
"Bom dia a todos! Mais uma excelente iniciativa de desenvolvimento para o Brasil, principalmente em regiões mais sec… https://t.co/yZyxco5MOh";"CarlosBolsonaro";2019-02-15 10:54:49
"Excelente iniciativa, Ministro @Astro_Pontes ! Este tipo de  incentivo é algo que acrescenta e muito no desenvolvim… https://t.co/mVMV0UFOV7";"CarlosBolsonaro";2019-02-14 23:21:26
"O retorno das linhas férreas no Brasil, abandonado por governos anteriores e, tão importante para a economia region… https://t.co/YFOqGbzUDh";"CarlosBolsonaro";2019-02-14 22:39:00
"Ministério da Justiça e Segurança Pública divulga novas e mais severas regras para visitas em presídios de seguranç… https://t.co/u8uckP3L3V";"CarlosBolsonaro";2019-02-14 21:47:55
"O *Brasil tem jeito! https://t.co/PB0TdOC76J";"CarlosBolsonaro";2019-02-14 21:03:30
"Excelente notícia! https://t.co/CCpmdncf7Y";"CarlosBolsonaro";2019-02-14 20:45:02
"Acho que vem coisa boa pra população diante desta atitude! <U+0001F44D><U+0001F3FB><U+0001F1E7><U+0001F1F7> https://t.co/cs2ULgGtgF";"CarlosBolsonaro";2019-02-14 20:24:24
"Como cidadão torço para o melhor do meu país, não importando minha profissão. Creio que qualquer um possa fazer iss… https://t.co/yjhNJ1iA3w";"CarlosBolsonaro";2019-02-14 20:05:35
". https://t.co/m8zAvzkaRY";"CarlosBolsonaro";2019-02-14 17:51:52
"Meu Deus! E o silêncio..... Vão ligando os pontinhos... https://t.co/W1MWmj0THD";"CarlosBolsonaro";2019-02-14 15:55:47
"A isenção ideológica na educação é algo que não ocorria e desespera quem destruiu o país. Na câmara de Vereadores d… https://t.co/7kiAOXxRlI";"CarlosBolsonaro";2019-02-14 14:54:16
"Faço uma pergunta para simples reflexão: por que focam as baterias para me atacar se simplesmente disse a verdade?… https://t.co/KLYAQKUkAQ";"CarlosBolsonaro";2019-02-14 14:14:41
"Mais notícia bacana do governo para os brasileiros: https://t.co/BoQxA72vvy";"CarlosBolsonaro";2019-02-14 11:55:08
"O @antagonista é fakenews do próprio @o_antagonista: https://t.co/1e6J5ZQ81h";"CarlosBolsonaro";2019-02-14 01:11:31
"Jornal da Record, 21h45, Assista entrevista com @jairbolsonaro";"CarlosBolsonaro";2019-02-13 23:27:41
"Excelente sustentação! Basta apenas cumprir a Constituição! https://t.co/LrmOkBMfVW";"CarlosBolsonaro";2019-02-13 21:51:31
"<U+0001F64C><U+0001F3FB> https://t.co/CtubNgD25c";"CarlosBolsonaro";2019-02-13 15:18:15
"Ontem estive 24h do dia ao lado do meu pai e afirmo: “É uma mentira absoluta de Gustavo Bebbiano que ontem teria fa… https://t.co/eTST6dKaDP";"CarlosBolsonaro";2019-02-13 14:56:07
"+ EDUCAÇÃO + CULTURA - IDIOTAS ÚTEIS https://t.co/ojcMYPBQuQ";"CarlosBolsonaro";2019-02-13 11:11:24
"O Deputado Federal @BolsonaroSP é entrevistado por @_AmandaKlein na @RedeTV : temas atuais no Congresso e contexto… https://t.co/YCQb1fhRGq";"CarlosBolsonaro";2019-02-13 10:43:03
"O cada vez melhor Ministro do Meio Ambiente @rsallesmma no Programa Canal Livre. https://t.co/Exzn4FLEzP";"CarlosBolsonaro";2019-02-13 01:02:48
"A maioria da porcaria da mídia fala que falta Bolsonaro sair do hospital para dar início à apresentação da reforma… https://t.co/EEmSYEZXYC";"CarlosBolsonaro";2019-02-12 22:15:49
"Até onde sei, todas as conclusões do governo são tomadas envolvendo todos os ministros pertinentes ao assuntos. Ent… https://t.co/zoAxF5c0b0";"CarlosBolsonaro";2019-02-12 21:51:26
"Uns dizem que mando no governo do meu pai, outros dizem que não trabalho... se decidam porque estou muito preocupado tais ilações. <U+0001F602>";"CarlosBolsonaro";2019-02-12 12:55:06
"<U+270A><U+0001F3FB><U+270A><U+0001F3FB><U+270A><U+0001F3FB> https://t.co/uZlvbQqR22";"CarlosBolsonaro";2019-02-12 11:51:51
"Nos últimos 5 meses passamos mais de 1 mês no hospital. Jamais ousaria me colocar no lugar do meu pai, apenas citei… https://t.co/x74kPqVpPa";"CarlosBolsonaro";2019-02-12 11:37:40
"<U+0001F1E7><U+0001F1F7><U+0001F446><U+0001F3FB> https://t.co/Bs2fWtqSo4";"CarlosBolsonaro";2019-02-11 20:11:14
"Um jornalista que é nacionalmente conhecido por divulgar fakenews apronta mais uma das suas clássicas e um monte de… https://t.co/bXrBb0GFTE";"CarlosBolsonaro";2019-02-11 19:43:59
"É inacreditável!!!! https://t.co/cE5YxqVpsE";"CarlosBolsonaro";2019-02-11 19:33:04
"Presidente @jairbolsonaro conversa com @DatenaOficial sobre lamentável passamento trágico de Ricardo Boechat. https://t.co/5bEJaF82mo";"CarlosBolsonaro";2019-02-11 18:46:24
"Boechat era um grande profissional, referência no jornalismo, capaz de conquistar o respeito tanto dos que convergi… https://t.co/acPsBYuYtD";"CarlosBolsonaro";2019-02-11 16:20:01
"<U+0001F91D><U+0001F44D><U+0001F3FB><U+0001F6EB> https://t.co/jheEUaWwC0";"CarlosBolsonaro";2019-02-11 14:34:55
"Agora tudo faz sentido no mundo da esquerda! https://t.co/0MVl2qcFuf";"CarlosBolsonaro";2019-02-11 13:50:57
"Politic(x)s do REDE/PSOL não gostaram do Presidente dizendo que foi um ex-integrante do “Socialismo e Liberdade” qu… https://t.co/HAruOoqBaK";"CarlosBolsonaro";2019-02-11 11:24:08
"A terceira viu nunca existiu! Sempre foram os mesmos do sistema tentando enganar o brasileiro. Que destas informaçõ… https://t.co/HaTfm6pHKK";"CarlosBolsonaro";2019-02-10 21:48:00
